utc_timestamp,cet_cest_timestamp,DE_price_day_ahead,DE_solar_generation_actual,DE_wind_generation_actual,DE_wind_onshore_generation_actual,FR_solar_generation_actual,FR_wind_onshore_generation_actual,FR_price_day_ahead,SE_price_day_ahead,SE_wind_generation_actual,DE_generation,FR_generation,SE_generation
2016-12-31T23:00:00Z,2017-01-01T00:00:00+0100,20.96,0,15422,12118,-1,289,58.82,24.03,3658.365248,48811.2449,72916,13936
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,20.9,0,15363,12059,-1,359,58.23,24.03,3429.499907,47541.91837,72169,13638
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,18.13,0,15080,11781,-1,357,51.95,24.02,3289.951978,45920.71429,69699,13411
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,16.03,0,14731,11432,-1,340,47.27,23.19,3053.217234,44541.15306,66467,13252
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,16.43,0,14865,11567,-1,384,45.49,24.1,2932.216327,43515.10204,64286,13213
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,13.75,0,15254,11964,-1,419,44.5,25.01,2787.192284,42476.16327,63972,13293
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,11.1,0,15904,12716,-1,436,44.5,25.62,2661.656405,41107.59184,63816,13514
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,15.47,1,15903,13020,-1,509,44.72,25.87,2610.967848,41291.19388,64142,13822
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,16.88,274,15816,13155,0,546,44.22,26.18,2553.516911,42070.97959,64358,14190
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,21.81,2083,15722,13116,152,592,42.06,25.74,2392.041223,44522.11224,66343,14505
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,26.24,4679,14505,12196,624,618,45.7,26.89,2242.969502,46810.26531,68083,15113
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,26.42,6830,13300,11130,1078,656,47.91,27.48,2080.413114,49243.47959,69505,15579
